ticker,event_ticker,market_type,title,subtitle,yes_sub_title,no_sub_title,open_time,close_time,expected_expiration_time,expiration_time,latest_expiration_time,settlement_timer_seconds,status,response_price_units,notional_value,tick_size,yes_bid,yes_ask,no_bid,no_ask,last_price,previous_yes_bid,previous_yes_ask,previous_price,volume,volume_24h,liquidity,open_interest,result,can_close_early,expiration_value,category,risk_limit_cents,strike_type,rules_primary,rules_secondary,custom_strike.baseball_team,floor_strike,cap_strike,custom_strike.cap_strike,custom_strike.floor_strike,custom_strike.strike_type,custom_strike.App,custom_strike.basketball_team,custom_strike.hockey_team,custom_strike.Word,custom_strike.Candidate,custom_strike.Place,custom_strike.Nominee,custom_strike.golf_competitor,custom_strike.Song/Artist/Album,settlement_value,custom_strike.Show/Movie,custom_strike.Album,custom_strike.Song,custom_strike.Artist,custom_strike.racing_competitor,custom_strike.tennis_competitor,custom_strike.Person,custom_strike.Member,custom_strike.Character,custom_strike.Organization,custom_strike.football_team,custom_strike.cricket_team,custom_strike.Model,custom_strike.ufc_competitor,custom_strike.Party,custom_strike.Senator,custom_strike.Company,custom_strike.Agency,custom_strike.Value,custom_strike.Guest,custom_strike.Country,custom_strike.Hike,custom_strike.Cut,custom_strike.Coin,custom_strike.soccer_team,custom_strike.Team,custom_strike.Participant,custom_strike.Associated Events,custom_strike.Associated Market Sides,custom_strike.Associated Markets,custom_strike.Multivariate Event Ticker,custom_strike.No change,custom_strike.Chemical,custom_strike.State,custom_strike.Digital Asset,custom_strike.Count,custom_strike.College/University,custom_strike.Change,custom_strike.House Winner,custom_strike.President Winner,custom_strike.Senate Winner,custom_strike.Coach,custom_strike.Actor,custom_strike.Movie,custom_strike.Game,custom_strike.Canndidate,custom_strike.Individual,custom_strike.Candidate 1,custom_strike.Candidate 2,custom_strike.Disease,custom_strike.Cryptocurrency,custom_strike.Song/Artist,custom_strike.Seats,custom_strike.Chamber of Congress,custom_strike.Public Health Emergency/Pandemic,custom_strike.Jurisdiction,custom_strike.Electoral College Winner,custom_strike.Popular Vote Winner,custom_strike.Election year,custom_strike.Election,fee_waiver_expiration_time,custom_strike.Chart,custom_strike.University,custom_strike.School,custom_strike.Joins/Leaves,custom_strike.President,custom_strike.Epidemic Level,custom_strike.Joines/Leaves,custom_strike.Above,custom_strike.Inflation,custom_strike.Unemployment,custom_strike.Date,custom_strike.Expo_Date,custom_strike.Interest Rate
KXNBAGAME-25APR21LACDEN-DEN,KXNBAGAME-25APR21LACDEN,binary,Los Angeles C vs Denver Winner?,,Denver,Denver,2025-04-21T15:05:00Z,2025-04-22T04:46:21.822233Z,2025-04-22T05:00:00Z,2027-04-22T02:00:00Z,2027-04-22T02:00:00Z,500,finalized,usd_cent,100,1,0,1,99,100,1,0,1,1,507478,0,1220000,208771,no,True,Los Angeles C,,0,structured,"If Denver wins the Los Angeles C vs Denver professional basketball game scheduled for Apr 21, 2025, then the market resolves to Yes.","The following market refers to the Los Angeles C vs Denver professional basketball game scheduled for Apr 21, 2025. If this game/series is postponed or delayed, the market will remain open and close after the rescheduled game/series has finished (within two years). If the cancelled game/series is not played, rescheduled, or declared a tie, the market will resolve to 50/50 for all teams.",,,,,,,,ba2cb6be-9827-46a8-8e6f-d8661307ba77,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KXNBAGAME-25APR21DETNYK-NYK,KXNBAGAME-25APR21DETNYK,binary,Detroit vs New York Winner?,,New York,New York,2025-04-21T15:05:00Z,2025-04-22T02:20:17.396868Z,2025-04-22T02:30:00Z,2027-04-21T23:30:00Z,2027-04-21T23:30:00Z,500,finalized,usd_cent,100,1,0,1,99,100,1,0,1,1,660870,0,0,251055,no,True,Detroit,,0,structured,"If New York wins the Detroit vs New York professional basketball game scheduled for Apr 21, 2025, then the market resolves to Yes.","The following market refers to the Detroit vs New York professional basketball game scheduled for Apr 21, 2025. If this game/series is postponed or delayed, the market will remain open and close after the rescheduled game/series has finished (within two years). If the cancelled game/series is not played, rescheduled, or declared a tie, the market will resolve to 50/50 for all teams.",,,,,,,,67468ecc-b868-43a4-b9dc-751a52894bb0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KXNBAGAME-25APR19LACDEN-DEN,KXNBAGAME-25APR19LACDEN,binary,Los Angeles C vs Denver: Game 1 Winner? Winner?,,Denver,Denver,2025-04-18T19:15:00Z,2025-04-19T22:46:12.555913Z,2025-04-19T22:30:00Z,2027-04-19T19:30:00Z,2027-04-19T19:30:00Z,500,finalized,usd_cent,100,1,99,100,0,1,99,99,100,99,536859,0,0,240494,yes,True,Denver,,0,structured,"If Denver wins the Los Angeles C vs Denver professional basketball game scheduled for Apr 19, 2025, then the market resolves to Yes.","The following market refers to the Los Angeles C vs Denver professional basketball game scheduled for Apr 19, 2025. If this game/series is postponed or delayed, the market will remain open and close after the rescheduled game/series has finished (within two years). If the cancelled game/series is not played, rescheduled, or declared a tie, the market will resolve to 50/50 for all teams.",,,,,,,,ba2cb6be-9827-46a8-8e6f-d8661307ba77,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KXNBAGAME-25APR19DETNYK-NYK,KXNBAGAME-25APR19DETNYK,binary,Detroit vs New York: Game 1 Winner? Winner?,,New York,New York,2025-04-18T19:15:00Z,2025-04-20T00:58:20.089323Z,2025-04-20T01:00:00Z,2027-04-19T22:00:00Z,2027-04-19T22:00:00Z,500,finalized,usd_cent,100,1,99,100,0,1,99,99,100,99,949521,0,-9774027,372593,yes,True,New York,,0,structured,"If New York wins the Detroit vs New York professional basketball game scheduled for Apr 19, 2025, then the market resolves to Yes.","The following market refers to the Detroit vs New York professional basketball game scheduled for Apr 19, 2025. If this game/series is postponed or delayed, the market will remain open and close after the rescheduled game/series has finished (within two years). If the cancelled game/series is not played, rescheduled, or declared a tie, the market will resolve to 50/50 for all teams.",,,,,,,,67468ecc-b868-43a4-b9dc-751a52894bb0,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KXNBAGAME-25APR19DETNYK-DET,KXNBAGAME-25APR19DETNYK,binary,Detroit vs New York: Game 1 Winner? Winner?,,Detroit,Detroit,2025-04-18T19:15:00Z,2025-04-20T00:58:20.089323Z,2025-04-20T01:00:00Z,2027-04-19T22:00:00Z,2027-04-19T22:00:00Z,500,finalized,usd_cent,100,1,0,1,99,100,1,0,1,1,939346,0,-11766760,314403,no,True,New York,,0,structured,"If Detroit wins the Detroit vs New York professional basketball game scheduled for Apr 19, 2025, then the market resolves to Yes.","The following market refers to the Detroit vs New York professional basketball game scheduled for Apr 19, 2025. If this game/series is postponed or delayed, the market will remain open and close after the rescheduled game/series has finished (within two years). If the cancelled game/series is not played, rescheduled, or declared a tie, the market will resolve to 50/50 for all teams.",,,,,,,,65569528-1888-40aa-9d62-2b0e8142a9b4,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KXMASTERS-25-JROS,KXMASTERS-25,binary,Will Justin Rose win the Masters?,,Justin Rose,Justin Rose,2025-04-06T18:00:00Z,2025-04-13T23:22:37.423821Z,2025-04-13T14:00:00Z,2027-04-13T14:00:00Z,2027-04-13T14:00:00Z,1800,finalized,usd_cent,100,1,0,1,99,100,1,0,1,1,11652729,0,-882692,3514382,no,True,Rory McIlroy,,0,structured,"If Justin Rose wins the Masters, then the market resolves to Yes.",,,,,,,,,,,,,,,c11235f6-0f62-4afb-93e7-952dc0554649,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KXMASTERS-25-PREE,KXMASTERS-25,binary,Will Patrick Reed win the Masters?,,Patrick Reed,Patrick Reed,2025-04-06T18:00:00Z,2025-04-13T23:22:37.423821Z,2025-04-13T14:00:00Z,2027-04-13T14:00:00Z,2027-04-13T14:00:00Z,1800,finalized,usd_cent,100,1,0,1,99,100,1,0,1,1,799087,0,-23751,707778,no,True,Rory McIlroy,,0,structured,"If Patrick Reed wins the Masters, then the market resolves to Yes.",,,,,,,,,,,,,,,12195ed9-3fcd-486a-86b4-1ec726d201cd,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KXMASTERS-25-JNIE,KXMASTERS-25,binary,Will Joaquin Niemann win the Masters?,,Joaquin Niemann,Joaquin Niemann,2025-04-06T18:00:00Z,2025-04-13T23:22:37.423821Z,2025-04-13T14:00:00Z,2027-04-13T14:00:00Z,2027-04-13T14:00:00Z,1800,finalized,usd_cent,100,1,0,1,99,100,1,0,1,1,630139,0,-14085,543542,no,True,Rory McIlroy,,0,structured,"If Joaquin Niemann wins the Masters, then the market resolves to Yes.",,,,,,,,,,,,,,,4249bf6e-9723-4a4a-9ddd-515022618de9,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KXMASTERS-25-MMCC,KXMASTERS-25,binary,Will Matthew McCarty win the Masters?,,Matthew McCarty,Matthew McCarty,2025-04-06T18:00:00Z,2025-04-13T23:22:37.423821Z,2025-04-13T14:00:00Z,2027-04-13T14:00:00Z,2027-04-13T14:00:00Z,1800,finalized,usd_cent,100,1,0,1,99,100,1,0,1,1,610361,0,30000,580924,no,True,Rory McIlroy,,0,structured,"If Matthew McCarty wins the Masters, then the market resolves to Yes.",,,,,,,,,,,,,,,80d16074-9940-44ee-b159-4b7ad819e2ac,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KXMASTERS-25-JDAY,KXMASTERS-25,binary,Will Jason Day win the Masters?,,Jason Day,Jason Day,2025-04-06T18:00:00Z,2025-04-13T23:22:37.423821Z,2025-04-13T14:00:00Z,2027-04-13T14:00:00Z,2027-04-13T14:00:00Z,1800,finalized,usd_cent,100,1,0,1,99,100,1,0,1,1,732914,0,-1010000,652353,no,True,Rory McIlroy,,0,structured,"If Jason Day wins the Masters, then the market resolves to Yes.",,,,,,,,,,,,,,,97cd8ce8-beb2-484e-9081-ccba9baa0607,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
