gvkey,datadate,fyearq,fqtr,atq,ltq,niq,saleq,oancfy,capxy,epspxq,ceqq,cheq,dlttq,dlcq
100243,2005-03-31,2005,3.0,,,,,,,,,,,
100243,2005-06-30,2005,4.0,7540.982,4217.553,-16.429,4168.076,653.167,493.189,-0.19,2809.138,160.587,1560.852,555.505
100243,2005-09-30,2006,1.0,,,,,,,,,,,
100243,2005-12-31,2006,2.0,7912.033,5330.806,148.235,4051.389,187.148,154.403,0.76,2529.099,276.5,1707.75,1155.19
100243,2006-03-31,2006,3.0,,,,,,,,,,,
100243,2006-06-30,2006,4.0,7538.428,4886.932,112.535,3536.995,715.651,361.055,0.51,2613.194,84.548,1547.621,857.06
100243,2006-09-30,2007,1.0,,,,,,,,,,,
100243,2006-12-31,2007,2.0,7580.939,4804.904,92.795,4314.204,220.594,198.204,0.39,2776.035,137.024,1520.352,946.868
100243,2007-03-31,2007,3.0,,,,,,,,,,,
100243,2007-06-30,2007,4.0,7762.727,4721.845,360.37,3930.982,803.503,515.235,0.44,2996.559,97.392,1375.967,1170.57
100243,2007-09-30,2008,1.0,,,,,,,,,,,
100243,2007-12-31,2008,2.0,7333.313,4324.11,,4159.122,,,,3009.203,,1535.186,543.41
100243,2008-03-31,2008,3.0,,,,,,,,,,,
100243,2008-06-30,2008,4.0,7716.438,4844.683,247.465,4671.289,632.431,520.173,1.03,2819.642,246.986,1752.906,647.825
100243,2008-09-30,2009,1.0,,,,,,,,,,,
100243,2008-12-31,2009,2.0,6765.829,4427.99,64.802,3376.49,58.378,225.481,0.28,2288.818,128.278,1842.115,585.315
100243,2009-03-31,2009,3.0,,,,,,,,,,,
100243,2009-06-30,2009,4.0,6803.253,4325.856,105.723,4304.275,542.665,454.544,0.54,2426.65,151.917,1510.876,770.138
100243,2009-09-30,2010,1.0,,,,,,,,,,,
100243,2009-12-31,2010,2.0,8357.294,4464.448,85.301,3665.677,196.461,233.454,0.31,3837.086,1320.631,1993.877,279.247
100243,2010-03-31,2010,3.0,,,,,,,,,,,
100243,2010-06-30,2010,4.0,9591.05,6093.983,69.883,4686.699,664.917,425.272,0.23,3449.579,226.501,1638.76,1169.137
100243,2010-09-30,2011,1.0,,,,,,,,,,,
100243,2010-12-31,2011,2.0,10845.925,6972.134,228.858,6250.639,212.36,257.605,0.75,3821.46,258.111,2627.671,911.081
100243,2011-03-31,2011,3.0,,,,,,,,,,,
100243,2011-06-30,2011,4.0,11723.959,7700.961,153.952,7070.241,843.321,669.139,0.49,3958.391,240.826,3287.855,382.274
100243,2011-09-30,2012,1.0,,,,,,,,,,,
100243,2011-12-31,2012,2.0,11103.883,7474.926,210.043,6238.041,317.371,358.272,0.69,3557.507,296.971,3118.252,748.528
100243,2012-03-31,2012,3.0,,,,,,,,,,,
100243,2012-06-30,2012,4.0,11602.097,8142.738,212.294,6242.611,1064.749,721.638,0.7,3368.77,366.039,3066.399,939.665
100243,2012-09-30,2013,1.0,,,,,,,,,,,
100243,2012-12-31,2013,2.0,11688.384,8133.874,236.856,4722.371,347.022,270.842,0.93,3468.352,373.836,2730.034,1566.225
100243,2013-03-31,2013,3.0,,,,,,,,,,,
100243,2013-06-30,2013,4.0,11384.03,7992.155,298.105,3971.365,959.117,435.979,0.86,3306.182,361.926,2912.27,1085.869
100243,2013-09-30,2014,1.0,,,,,,,,,,,
100243,2013-12-31,2014,2.0,8981.235,6898.099,142.239,4646.473,269.209,180.455,0.96,1991.078,371.893,2754.686,1025.049
100243,2014-03-31,2014,3.0,,,,,,,,,,,
100243,2014-06-30,2014,4.0,9141.645,7000.679,390.198,5585.027,1123.039,341.446,1.34,2031.707,510.095,3003.914,522.256
100243,2014-09-30,2015,1.0,,,,,,,,,,,
100243,2014-12-31,2015,2.0,8438.2,6432.8,321.3,4809.0,205.0,156.3,1.06,1894.4,404.5,2765.6,695.0
100243,2015-03-31,2015,3.0,,,,,,,,,,,
100243,2015-06-30,2015,4.0,8547.1,6960.1,359.0,4802.8,1002.3,323.0,1.2,1466.2,704.9,2572.6,1012.7
100243,2015-09-30,2016,1.0,,,,,,,,,,,
100243,2015-12-31,2016,2.0,8177.1,6957.9,305.5,4547.7,263.2,162.2,1.05,1142.1,488.9,2617.3,1395.3
100243,2016-03-31,2016,3.0,,,,,,,,,,,
100243,2016-06-30,2016,4.0,8682.1,7836.6,-61.4,4873.6,1099.4,348.9,-0.21,783.9,515.7,3428.4,916.7
100243,2016-09-30,2017,1.0,,,,,,,,,,,
100243,2016-12-31,2017,2.0,8621.5,7779.4,286.6,4467.3,214.9,203.8,0.99,778.1,386.6,3673.7,998.1
100243,2017-03-31,2017,3.0,,,,,,,,,,,
100243,2017-06-30,2017,4.0,9083.3,8191.8,310.4,4633.7,1027.4,379.2,1.07,821.9,561.5,3486.4,1124.6
100243,2017-09-30,2018,1.0,,,,,,,,,,,
100243,2017-12-31,2018,2.0,9060.0,8102.1,329.7,4502.2,178.1,187.1,1.14,893.4,419.9,2458.4,2314.8
100243,2018-03-31,2018,3.0,,,,,,,,,,,
100243,2018-06-30,2018,4.0,9046.7,7956.2,394.3,4816.9,937.1,372.1,1.36,1021.7,620.8,2671.0,1822.0
100243,2018-09-30,2019,1.0,,,,,,,,,,,
100243,2018-12-31,2019,2.0,8868.0,7810.5,267.6,4551.8,229.0,173.4,0.92,993.1,490.6,3032.2,1481.4
100243,2019-03-31,2019,3.0,,,,,,,,,,,
100243,2019-06-30,2019,4.0,17165.0,11490.3,162.6,4906.4,734.5,332.2,0.14,5609.0,601.6,5309.0,794.2
100243,2019-09-30,2020,1.0,16730.7,11239.3,66.0,3140.7,-89.4,115.4,0.05,5424.2,480.2,5961.6,401.5
100243,2019-12-31,2020,2.0,16832.6,11429.7,185.6,3043.1,342.0,206.6,0.11,5339.7,673.8,6344.8,441.6
100243,2020-03-31,2020,3.0,16421.0,11618.2,181.5,3141.0,470.3,312.7,0.11,4739.6,537.8,6674.4,396.4
100243,2020-06-30,2020,4.0,16442.1,11755.0,179.1,3142.7,1384.2,399.5,0.11,4625.9,742.6,6494.1,290.3
100243,2020-09-30,2021,1.0,16465.0,11721.0,198.0,3097.0,-110.0,114.0,0.13,4687.0,757.0,6806.0,238.0
100243,2020-12-31,2021,2.0,16718.0,11870.0,219.0,3103.0,442.0,218.0,0.14,4792.0,755.0,6884.0,53.0
100243,2021-03-31,2021,3.0,16592.0,11887.0,267.0,3207.0,617.0,335.0,0.17,4647.0,690.0,6947.0,107.0
100243,2021-06-30,2021,4.0,17188.0,12367.0,255.0,3454.0,1461.0,468.0,0.17,4764.0,850.0,6648.0,199.0
