permno,date,ret,datadate
10104,2009-01-30,-0.050761,2009-01-31
10104,2009-02-27,-0.076649,2009-02-28
10104,2009-03-31,0.162806,2009-03-31
10104,2009-04-30,0.073049,2009-04-30
10104,2009-05-29,0.012927,2009-05-31
10104,2009-06-30,0.093415,2009-06-30
10104,2009-07-31,0.035481,2009-07-31
10104,2009-08-31,-0.011297,2009-08-31
10104,2009-09-30,-0.047532,2009-09-30
10104,2009-10-30,0.014875,2009-10-31
10104,2009-11-30,0.046446,2009-11-30
10104,2009-12-31,0.11096,2009-12-31
10104,2010-01-29,-0.057888,2010-01-31
10104,2010-02-26,0.068951,2010-02-28
10104,2010-03-31,0.043002,2010-03-31
10104,2010-04-30,0.008071,2010-04-30
10104,2010-05-28,-0.127477,2010-05-31
10104,2010-06-30,-0.04918,2010-06-30
10104,2010-07-30,0.103914,2010-07-31
10104,2010-08-31,-0.075931,2010-08-31
10104,2010-09-30,0.229114,2010-09-30
10104,2010-10-29,0.096089,2010-10-31
10104,2010-11-30,-0.079476,2010-11-30
10104,2010-12-31,0.15733,2010-12-31
10104,2011-01-31,0.02492,2011-01-31
10104,2011-02-28,0.027162,2011-02-28
10104,2011-03-31,0.016185,2011-03-31
10104,2011-04-29,0.077395,2011-04-30
10104,2011-05-31,-0.048387,2011-05-31
10104,2011-06-30,-0.038282,2011-06-30
10104,2011-07-29,-0.068976,2011-07-31
10104,2011-08-31,-0.08208,2011-08-31
10104,2011-09-30,0.023869,2011-09-30
10104,2011-10-31,0.14231,2011-10-31
10104,2011-11-30,-0.043332,2011-11-30
10104,2011-12-30,-0.181818,2011-12-31
10104,2012-01-31,0.102144,2012-01-31
10104,2012-02-29,0.037044,2012-02-29
10104,2012-03-30,-0.003247,2012-03-31
10104,2012-04-30,0.010288,2012-04-30
10104,2012-05-31,-0.09966,2012-05-31
10104,2012-06-29,0.122025,2012-06-30
10104,2012-07-31,0.018855,2012-07-31
10104,2012-08-31,0.048013,2012-08-31
10104,2012-09-28,-0.006003,2012-09-30
10104,2012-10-31,-0.010172,2012-10-31
10104,2012-11-30,0.035232,2012-11-30
10104,2012-12-31,0.041181,2012-12-31
10104,2013-01-31,0.065726,2013-01-31
10104,2013-02-28,-0.035765,2013-02-28
10104,2013-03-28,-0.055783,2013-03-31
10104,2013-04-30,0.013919,2013-04-30
10104,2013-05-31,0.030506,2013-05-31
10104,2013-06-28,-0.090882,2013-06-30
10104,2013-07-31,0.05731,2013-07-31
10104,2013-08-30,-0.015147,2013-08-31
10104,2013-09-30,0.041117,2013-09-30
10104,2013-10-31,0.013567,2013-10-31
10104,2013-11-29,0.053433,2013-11-30
10104,2013-12-31,0.08416,2013-12-31
10104,2014-01-31,-0.03241,2014-01-31
10104,2014-02-28,0.059892,2014-02-28
10104,2014-03-31,0.046024,2014-03-31
10104,2014-04-30,0.0022,2014-04-30
10104,2014-05-30,0.027887,2014-05-31
10104,2014-06-30,-0.035459,2014-06-30
10104,2014-07-31,-0.000493,2014-07-31
10104,2014-08-29,0.028225,2014-08-31
10104,2014-09-30,-0.078257,2014-09-30
10104,2014-10-31,0.02325,2014-10-31
10104,2014-11-28,0.086044,2014-11-30
10104,2014-12-31,0.060363,2014-12-31
10104,2015-01-30,-0.065822,2015-01-31
10104,2015-02-27,0.046073,2015-02-28
10104,2015-03-31,-0.01529,2015-03-31
10104,2015-04-30,0.014368,2015-04-30
10104,2015-05-29,-0.00298,2015-05-31
10104,2015-06-30,-0.07335,2015-06-30
10104,2015-07-31,-0.005211,2015-07-31
10104,2015-08-31,-0.071357,2015-08-31
10104,2015-09-30,-0.026153,2015-09-30
10104,2015-10-30,0.079457,2015-10-31
10104,2015-11-30,0.003347,2015-11-30
10104,2015-12-31,-0.062612,2015-12-31
10104,2016-01-29,-0.001916,2016-01-31
10104,2016-02-29,0.012944,2016-02-29
10104,2016-03-31,0.112289,2016-03-31
10104,2016-04-29,-0.022,2016-04-30
10104,2016-05-31,0.00853,2016-05-31
10104,2016-06-30,0.018159,2016-06-30
10104,2016-07-29,0.006352,2016-07-31
10104,2016-08-31,0.004386,2016-08-31
10104,2016-09-30,-0.047065,2016-09-30
10104,2016-10-31,-0.018075,2016-10-31
10104,2016-11-30,0.04607,2016-11-30
10104,2016-12-30,-0.043294,2016-12-31
10104,2017-01-31,0.047074,2017-01-31
10104,2017-02-28,0.06183,2017-02-28
10104,2017-03-31,0.047429,2017-03-31
10104,2017-04-28,0.012105,2017-04-30
10104,2017-05-31,0.009564,2017-05-31
10104,2017-06-30,0.104649,2017-06-30
10104,2017-07-31,-0.000399,2017-07-31
10104,2017-08-31,0.008011,2017-08-31
10104,2017-09-29,-0.03934,2017-09-30
10104,2017-10-31,0.05667,2017-10-31
10104,2017-11-30,-0.036149,2017-11-30
10104,2017-12-29,-0.036282,2017-12-31
10104,2018-01-31,0.095178,2018-01-31
10104,2018-02-28,-0.017833,2018-02-28
10104,2018-03-29,-0.097099,2018-03-31
10104,2018-04-30,0.002404,2018-04-30
10104,2018-05-31,0.022991,2018-05-31
10104,2018-06-29,-0.056935,2018-06-30
10104,2018-07-31,0.086473,2018-07-31
10104,2018-08-31,0.018876,2018-08-31
10104,2018-09-28,0.061342,2018-09-30
10104,2018-10-31,-0.049069,2018-10-31
10104,2018-11-30,-0.001638,2018-11-30
10104,2018-12-31,-0.074036,2018-12-31
10104,2019-01-31,0.116722,2019-01-31
10104,2019-02-28,0.037826,2019-02-28
10104,2019-03-29,0.030309,2019-03-31
10104,2019-04-30,0.034631,2019-04-30
10104,2019-05-31,-0.085487,2019-05-31
10104,2019-06-28,0.125889,2019-06-30
10104,2019-07-31,-0.007548,2019-07-31
10104,2019-08-30,-0.075311,2019-08-31
10104,2019-09-30,0.05705,2019-09-30
10104,2019-10-31,-0.005452,2019-10-31
10104,2019-11-29,0.030281,2019-11-30
10104,2019-12-31,-0.056288,2019-12-31
10104,2020-01-31,-0.005474,2020-01-31
10104,2020-02-28,-0.057007,2020-02-29
10104,2020-03-31,-0.022847,2020-03-31
10104,2020-04-30,0.100972,2020-04-30
10104,2020-05-29,0.015103,2020-05-31
10104,2020-06-30,0.027897,2020-06-30
10104,2020-07-31,0.007599,2020-07-31
10104,2020-08-31,0.031921,2020-08-31
10104,2020-09-30,0.043342,2020-09-30
10104,2020-10-30,-0.056114,2020-10-31
10104,2020-11-30,0.028694,2020-11-30
10104,2020-12-31,0.120755,2020-12-31
10104,2021-01-29,-0.062143,2021-01-31
10104,2021-02-26,0.067516,2021-02-28
10104,2021-03-31,0.087738,2021-03-31
10104,2021-04-30,0.084652,2021-04-30
10104,2021-05-28,0.038923,2021-05-31
10104,2021-06-30,-0.01143,2021-06-30
10104,2021-07-30,0.123587,2021-07-31
10104,2021-08-31,0.022837,2021-08-31
10104,2021-09-30,-0.022439,2021-09-30
10104,2021-10-29,0.104786,2021-10-31
10104,2021-11-30,-0.054201,2021-11-30
10104,2021-12-31,-0.038902,2021-12-31
10104,2022-01-31,-0.065703,2022-01-31
10104,2022-02-28,-0.063948,2022-02-28
10104,2022-03-31,0.088983,2022-03-31
10104,2022-04-29,-0.108909,2022-04-30
10104,2022-05-31,-0.020164,2022-05-31
10104,2022-06-30,-0.028504,2022-06-30
10104,2022-07-29,0.118649,2022-07-31
10104,2022-08-31,-0.047405,2022-08-31
10104,2022-09-30,-0.176399,2022-09-30
10104,2022-10-31,0.283609,2022-10-31
10104,2022-11-30,0.063533,2022-11-30
10104,2022-12-30,-0.015537,2022-12-31
10104,2023-01-31,0.086127,2023-01-31
10104,2023-02-28,-0.011983,2023-02-28
10104,2023-03-31,0.063158,2023-03-31
10104,2023-04-28,0.023676,2023-04-30
10104,2023-05-31,0.118454,2023-05-31
10104,2023-06-30,0.124127,2023-06-30
10104,2023-07-31,-0.01226,2023-07-31
10104,2023-08-31,0.026956,2023-08-31
10104,2023-09-29,-0.120193,2023-09-30
10104,2023-10-31,-0.020015,2023-10-31
10104,2023-11-30,0.123888,2023-11-30
10104,2023-12-29,-0.092763,2023-12-31
10107,2009-01-30,-0.12037,2009-01-31
10107,2009-02-27,-0.047953,2009-02-28
10107,2009-03-31,0.137461,2009-03-31
10107,2009-04-30,0.102885,2009-04-30
10107,2009-05-29,0.037512,2009-05-31
10107,2009-06-30,0.137865,2009-06-30
10107,2009-07-31,-0.010518,2009-07-31
10107,2009-08-31,0.053571,2009-08-31
10107,2009-09-30,0.043408,2009-09-30
10107,2009-10-30,0.078149,2009-10-31
10107,2009-11-30,0.065272,2009-11-30
10107,2009-12-31,0.036382,2009-12-31
10107,2010-01-29,-0.075459,2010-01-31
10107,2010-02-26,0.022001,2010-02-28
10107,2010-03-31,0.021538,2010-03-31
10107,2010-04-30,0.042595,2010-04-30
10107,2010-05-28,-0.150811,2010-05-31
10107,2010-06-30,-0.10814,2010-06-30
10107,2010-07-30,0.121686,2010-07-31
10107,2010-08-31,-0.085819,2010-08-31
10107,2010-09-30,0.043682,2010-09-30
10107,2010-10-29,0.088812,2010-10-31
10107,2010-11-30,-0.046784,2010-11-30
10107,2010-12-31,0.105018,2010-12-31
10107,2011-01-31,-0.006628,2011-01-31
10107,2011-02-28,-0.035528,2011-02-28
10107,2011-03-31,-0.044771,2011-03-31
10107,2011-04-29,0.020874,2011-04-30
10107,2011-05-31,-0.028935,2011-05-31
10107,2011-06-30,0.039584,2011-06-30
10107,2011-07-29,0.053846,2011-07-31
10107,2011-08-31,-0.023358,2011-08-31
10107,2011-09-30,-0.064286,2011-09-30
10107,2011-10-31,0.069908,2011-10-31
10107,2011-11-30,-0.031919,2011-11-30
10107,2011-12-30,0.014855,2011-12-31
10107,2012-01-31,0.137519,2012-01-31
10107,2012-02-29,0.081612,2012-02-29
10107,2012-03-30,0.016226,2012-03-31
10107,2012-04-30,-0.007441,2012-04-30
10107,2012-05-31,-0.081993,2012-05-31
10107,2012-06-29,0.047962,2012-06-30
10107,2012-07-31,-0.036613,2012-07-31
10107,2012-08-31,0.052596,2012-08-31
10107,2012-09-28,-0.034393,2012-09-30
10107,2012-10-31,-0.040995,2012-10-31
10107,2012-11-30,-0.05939,2012-11-30
10107,2012-12-31,0.003558,2012-12-31
10107,2013-01-31,0.027717,2013-01-31
10107,2013-02-28,0.021129,2013-02-28
10107,2013-03-28,0.028957,2013-03-31
10107,2013-04-30,0.15714,2013-04-30
10107,2013-05-31,0.061329,2013-05-31
10107,2013-06-28,-0.010172,2013-06-30
10107,2013-07-31,-0.078304,2013-07-31
10107,2013-08-30,0.056219,2013-08-31
10107,2013-09-30,-0.003593,2013-09-30
10107,2013-10-31,0.063852,2013-10-31
10107,2013-11-29,0.084875,2013-11-30
10107,2013-12-31,-0.018883,2013-12-31
10107,2014-01-31,0.011494,2014-01-31
10107,2014-02-28,0.01982,2014-02-28
10107,2014-03-31,0.069956,2014-03-31
10107,2014-04-30,-0.014394,2014-04-30
10107,2014-05-30,0.020297,2014-05-31
10107,2014-06-30,0.018564,2014-06-30
10107,2014-07-31,0.035012,2014-07-31
10107,2014-08-29,0.059083,2014-08-31
10107,2014-09-30,0.020471,2014-09-30
10107,2014-10-31,0.012727,2014-10-31
10107,2014-11-28,0.02492,2014-11-30
10107,2014-12-31,-0.028446,2014-12-31
10107,2015-01-30,-0.130248,2015-01-31
10107,2015-02-27,0.093069,2015-02-28
10107,2015-03-31,-0.072862,2015-03-31
10107,2015-04-30,0.196409,2015-04-30
10107,2015-05-29,-0.030222,2015-05-31
10107,2015-06-30,-0.057832,2015-06-30
10107,2015-07-31,0.057758,2015-07-31
10107,2015-08-31,-0.061456,2015-08-31
10107,2015-09-30,0.017004,2015-09-30
10107,2015-10-30,0.189336,2015-10-31
10107,2015-11-30,0.039324,2015-11-30
10107,2015-12-31,0.020791,2015-12-31
10107,2016-01-29,-0.00703,2016-01-31
10107,2016-02-29,-0.069886,2016-02-29
10107,2016-03-31,0.085495,2016-03-31
10107,2016-04-29,-0.097049,2016-04-30
10107,2016-05-31,0.069982,2016-05-31
10107,2016-06-30,-0.034528,2016-06-30
10107,2016-07-29,0.10768,2016-07-31
10107,2016-08-31,0.020113,2016-08-31
10107,2016-09-30,0.002436,2016-09-30
10107,2016-10-31,0.040278,2016-10-31
10107,2016-11-30,0.012183,2016-11-30
10107,2016-12-30,0.031198,2016-12-31
10107,2017-01-31,0.040393,2017-01-31
10107,2017-02-28,-0.004331,2017-02-28
10107,2017-03-31,0.029384,2017-03-31
10107,2017-04-28,0.039478,2017-04-30
10107,2017-05-31,0.025855,2017-05-31
10107,2017-06-30,-0.01303,2017-06-30
10107,2017-07-31,0.054693,2017-07-31
10107,2017-08-31,0.033838,2017-08-31
10107,2017-09-29,-0.003745,2017-09-30
10107,2017-10-31,0.11666,2017-10-31
10107,2017-11-30,0.016951,2017-11-30
10107,2017-12-29,0.016277,2017-12-31
10107,2018-01-31,0.110708,2018-01-31
10107,2018-02-28,-0.008631,2018-02-28
10107,2018-03-29,-0.026661,2018-03-31
10107,2018-04-30,0.024652,2018-04-30
10107,2018-05-31,0.061377,2018-05-31
10107,2018-06-29,-0.002327,2018-06-30
10107,2018-07-31,0.075753,2018-07-31
10107,2018-08-31,0.062877,2018-08-31
10107,2018-09-28,0.018161,2018-09-30
10107,2018-10-31,-0.066101,2018-10-31
10107,2018-11-30,0.042505,2018-11-30
10107,2018-12-31,-0.084047,2018-12-31
10107,2019-01-31,0.028158,2019-01-31
10107,2019-02-28,0.077181,2019-02-28
10107,2019-03-29,0.052754,2019-03-31
10107,2019-04-30,0.107343,2019-04-30
10107,2019-05-31,-0.049464,2019-05-31
10107,2019-06-28,0.083118,2019-06-30
10107,2019-07-31,0.017244,2019-07-31
10107,2019-08-30,0.015044,2019-08-31
10107,2019-09-30,0.008487,2019-09-30
10107,2019-10-31,0.031216,2019-10-31
10107,2019-11-29,0.059427,2019-11-30
10107,2019-12-31,0.041749,2019-12-31
10107,2020-01-31,0.079455,2020-01-31
10107,2020-02-28,-0.045292,2020-02-29
10107,2020-03-31,-0.026542,2020-03-31
10107,2020-04-30,0.136326,2020-04-30
10107,2020-05-29,0.025389,2020-05-31
10107,2020-06-30,0.110559,2020-06-30
10107,2020-07-31,0.007371,2020-07-31
10107,2020-08-31,0.10258,2020-08-31
10107,2020-09-30,-0.067397,2020-09-30
10107,2020-10-30,-0.03737,2020-10-31
10107,2020-11-30,0.060058,2020-11-30
10107,2020-12-31,0.039006,2020-12-31
10107,2021-01-29,0.042892,2021-01-31
10107,2021-02-26,0.004225,2021-02-28
10107,2021-03-31,0.014588,2021-03-31
10107,2021-04-30,0.069602,2021-04-30
10107,2021-05-28,-0.007693,2021-05-31
10107,2021-06-30,0.084989,2021-06-30
10107,2021-07-30,0.051717,2021-07-31
10107,2021-08-31,0.061528,2021-08-31
10107,2021-09-30,-0.066119,2021-09-30
10107,2021-10-29,0.176291,2021-10-31
10107,2021-11-30,-0.001236,2021-11-30
10107,2021-12-31,0.017333,2021-12-31
10107,2022-01-31,-0.075345,2022-01-31
10107,2022-02-28,-0.037205,2022-02-28
10107,2022-03-31,0.031862,2022-03-31
10107,2022-04-29,-0.099867,2022-04-30
10107,2022-05-31,-0.018125,2022-05-31
10107,2022-06-30,-0.055321,2022-06-30
10107,2022-07-29,0.093097,2022-07-31
10107,2022-08-31,-0.066432,2022-08-31
10107,2022-09-30,-0.109267,2022-09-30
10107,2022-10-31,-0.003306,2022-10-31
10107,2022-11-30,0.102055,2022-11-30
10107,2022-12-30,-0.060045,2022-12-31
10107,2023-01-31,0.033317,2023-01-31
10107,2023-02-28,0.009241,2023-02-28
10107,2023-03-31,0.155882,2023-03-31
10107,2023-04-28,0.065765,2023-04-30
10107,2023-05-31,0.070982,2023-05-31
10107,2023-06-30,0.036999,2023-06-30
10107,2023-07-31,-0.013567,2023-07-31
10107,2023-08-31,-0.022267,2023-08-31
10107,2023-09-29,-0.036643,2023-09-30
10107,2023-10-31,0.070816,2023-10-31
10107,2023-11-30,0.122889,2023-11-30
10107,2023-12-29,-0.007574,2023-12-31
10138,2009-01-30,-0.221783,2009-01-31
10138,2009-02-27,-0.175489,2009-02-28
10138,2009-03-31,0.280123,2009-03-31
10138,2009-04-30,0.334719,2009-04-30
10138,2009-05-29,0.053219,2009-05-31
10138,2009-06-30,0.033276,2009-06-30
10138,2009-07-31,0.12095,2009-07-31
10138,2009-08-31,-0.030186,2009-08-31
10138,2009-09-30,0.014349,2009-09-30
10138,2009-10-30,0.066302,2009-10-31
10138,2009-11-30,0.004104,2009-11-30
10138,2009-12-31,0.093399,2009-12-31
10138,2010-01-29,-0.068169,2010-01-31
10138,2010-02-26,0.021564,2010-02-28
10138,2010-03-31,0.089761,2010-03-31
10138,2010-04-30,0.046753,2010-04-30
10138,2010-05-28,-0.139381,2010-05-31
10138,2010-06-30,-0.098142,2010-06-30
10138,2010-07-30,0.086506,2010-07-31
10138,2010-08-31,-0.092059,2010-08-31
10138,2010-09-30,0.149463,2010-09-30
10138,2010-10-29,0.103965,2010-10-31
10138,2010-11-30,0.055365,2010-11-30
10138,2010-12-31,0.111092,2010-12-31
10138,2011-01-31,0.021382,2011-01-31
10138,2011-02-28,0.01608,2011-02-28
10138,2011-03-31,-0.003733,2011-03-31
10138,2011-04-29,-0.032671,2011-04-30
10138,2011-05-31,-0.014786,2011-05-31
10138,2011-06-30,-0.041864,2011-06-30
10138,2011-07-29,-0.058668,2011-07-31
10138,2011-08-31,-0.058451,2011-08-31
10138,2011-09-30,-0.100972,2011-09-30
10138,2011-10-31,0.106134,2011-10-31
10138,2011-11-30,0.074186,2011-11-30
10138,2011-12-30,0.008809,2011-12-31
10138,2012-01-31,0.015628,2012-01-31
10138,2012-02-29,0.064834,2012-02-29
10138,2012-03-30,0.065758,2012-03-31
