permno,ticker
10000,OMFGA
10001,GFGC
10001,EWST
10001,EWST
10001,EGAS
10001,EGAS
10001,EGAS
10002,MBNC
10002,SABC
10002,SABC
10002,BTFG
10003,GCBK
10003,GCBK
10004,CLSO
10005,WERC
10006,
10006,
10006,ACF
10006,ACF
10007,SDIC
10007,SDICV
10007,SDIC
10007,
10007,SHRD
10008,GACO
10009,CAYB
10009,CAYB
10009,CAYB
10009,IROQ
10009,IROQ
10010,CBOT
10011,ATCE
10011,ATCE
10011,ATCS
10012,DPAC
10012,
10012,DPAC
10012,DPAC
10012,DPAC
10012,DPAC
10013,AAPI
10014,
10014,
10014,
10014,AJ
10014,AJ
10015,AMFD
10016,FIGIA
10016,FIGIA
10016,SCTTA
10016,SCTT
10016,SCTT
10017,CCUR
10018,DCIS
10019,IFRS
10020,KEYC
10021,BIRI
10021,BIRI
10022,
10022,
10023,
10024,DOCX
10025,AEPI
10025,AEPI
10026,JJSF
10026,JJSF
10027,TNII
10027,TNII
10028,MINT
10028,MINT
10028,MINT
10028,MINT
10028,DLS
10028,DLS
10028,DLS
10028,DGSE
10028,DGSE
10028,DGC
10028,DGSE
10028,DGSE
10028,DGSE
10028,ELA
10029,AIFS
10029,AIF
10030,
10030,
10030,ABK
10030,ABK
10031,ANTQ
10031,ANTQ
10032,PLXS
10033,MABK
10034,HCSB
10035,GGUY
10036,NURO
10037,FSLA
10037,FSLA
10037,FSVB
10037,FSVB
10037,FSVB
10037,FBCP
10038,POCI
10038,POCI
10039,XIOX
10039,XIOX
10039,ATCM
10039,ATCM
10040,HARVY
10040,HARVY
10041,GGGG
10042,CYNR
10042,CAU
10042,CAU
10042,CAU
10043,AATI
10043,AATI
10043,AATI
10044,RMCF
10044,RMCF
10044,RMCF
10045,OLVR
10046,CPUIA
10046,CPUIA
10046,MENUA
10046,MENU
10047,FOAM
10047,LMNT
10047,LMNT
10047,LMNT
10047,LMNT
10048,CCCO
10048,CTY
10048,CTYA
10049,
10050,ABLD
10050,ABCC
10051,SEQL
10051,SEQL
10051,HOGG
10051,HNGR
10051,HNGR
10051,HGR
10051,HGR
10051,HGR
10051,HGR
10051,
10051,HNGR
10051,HNGR
10052,VLVL
10053,CDNI
10054,BNUI
10055,GRAR
10055,GRAR
10056,NMSB
10056,NMSB
10056,NMSB
10056,NMSB
10056,NMIL
10057,
10057,NCM
10057,AMT
10057,AMT
10058,ABKC
10058,
10058,ABKC
10059,OFSLY
10060,FSCNY
10061,USBK
10061,USBK
10062,NOAX
10062,NOAX
10062,ENSO
10062,ENSO
10063,NMRC
10063,AHTS
10064,TTOY
10064,TTI
10065,
10065,
10065,ADX
10065,ADX
10065,ADX
10065,ADX
10066,ABMC
10066,FTCO
10066,
10066,FCM
10066,FCM
10066,FCM
10066,FCM
10066,
10066,
10066,FKWL
10067,HYGA
10068,APGI
10069,AJIL
10070,DIGT
10071,ABSB
10071,AB
10072,DEWS
10072,SMRX
10072,
10072,SMRX
10073,
10073,
10074,ABSI
10074,ABSI
10075,VWRX
10075,VWRX
10076,SCAT
10077,STRS
10078,SUNW
10078,JAVA
10078,JAVA
10079,GCCC
10080,MHCO
10080,MHCO
10081,
10082,ACSE
10082,ACSE
10082,
10082,ACSE
10083,TKAI
10083,CMTK
10084,CRCC
10084,CRCC
10085,UICI
10085,UICI
10085,UCI
10086,LBSC
10087,BUTI
10088,VRBB
10089,SYNR
10089,ATGI
10089,ATGI
10090,AMSE
10090,AMSE
10091,ITXI
10092,LCIC
10092,KIDE
10092,KDE
10092,KDE
10093,AIRC
10093,AIRC
10093,AIRC
10094,TUES
10094,TUES
10095,SYGN
10096,CIBA
10097,FACE
10097,
10097,FACE
10097,FACE
10097,FACE
10097,FIX
10097,FACE
10098,PTEK
10098,POLY
10099,ABCI
10100,AMCE
10100,AMCE
